CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 8)]","[('1ba3e35746d83472b308b2c59844c1214b88fb6d', '7a55d3228690695d9478060232185c4980d0de16')]",set(),set(),[]
"[(9, 14)]","[('2b4400ca73cff5d44a5cebd64abdc3198d1e31f0', 'cf477c279c358effbe430e9298389c8bb22893ad')]","{'user', 'config'}","{Container(image='erdaoya/cloud-eureka-service', build=None, container_name='eureka'), Container(image='erdaoya/cloud-user-service', build=None, container_name='user'), Container(image='erdaoya/cloud-data-mysql', build=None, container_name='mysql'), Container(image='erdaoya/cloud-config-service', build=None, container_name='config'), Container(image='erdaoya/cloud-api-gateway', build=None, container_name='gateway')}","['cloud-api-gateway/src/main/docker/Dockerfile', 'cloud-config-service/src/main/docker/Dockerfile', 'cloud-data-mysql/src/main/docker/Dockerfile', 'cloud-eureka-service/src/main/docker/Dockerfile', 'cloud-service-client/src/main/docker/Dockerfile', 'cloud-user-service/src/main/docker/Dockerfile']"
"[(15, 15)]","[('bdd64288ee088a77cda39f8dccccac92fd595b5f', 'bdd64288ee088a77cda39f8dccccac92fd595b5f')]",set(),set(),[]
"[(16, 23)]","[('07e4dd2a731203f8c698bc9d60dac5b680aaeb80', '6957aa204e09a08270f842da1a71401f6e870773')]","{'client', 'user', 'config'}","{Container(image='erdaoya/cloud-eureka-service', build=None, container_name='eureka'), Container(image='erdaoya/cloud-user-service', build=None, container_name='user'), Container(image='erdaoya/cloud-service-client', build=None, container_name='client'), Container(image='erdaoya/cloud-data-mysql', build=None, container_name='mysql'), Container(image='erdaoya/cloud-config-service', build=None, container_name='config'), Container(image='erdaoya/cloud-api-gateway', build=None, container_name='gateway')}","['cloud-api-gateway/src/main/docker/Dockerfile', 'cloud-config-service/src/main/docker/Dockerfile', 'cloud-data-mysql/src/main/docker/Dockerfile', 'cloud-eureka-service/src/main/docker/Dockerfile', 'cloud-service-client/src/main/docker/Dockerfile', 'cloud-user-service/src/main/docker/Dockerfile']"
"[(24, 24)]","[('b366099f44770b56618889d3cbde5d8aecc1b1cd', 'b366099f44770b56618889d3cbde5d8aecc1b1cd')]","{'client', 'user', 'config'}","{Container(image='erdaoya/cloud-eureka-service', build=None, container_name='eureka'), Container(image='erdaoya/cloud-user-service', build=None, container_name='user'), Container(image='erdaoya/cloud-service-client', build=None, container_name='client'), Container(image='erdaoya/cloud-data-mysql', build=None, container_name='mysql'), Container(image='erdaoya/cloud-config-service', build=None, container_name='config'), Container(image='erdaoya/cloud-api-gateway', build=None, container_name='gateway')}","['cloud-api-gateway/src/main/docker/Dockerfile', 'cloud-config-service/src/main/docker/Dockerfile', 'cloud-data-mysql/src/main/docker/Dockerfile', 'cloud-eureka-service/src/main/docker/Dockerfile', 'cloud-service-client/src/main/docker/Dockerfile', 'cloud-turbine-dashbord/src/main/docker/Dockerfile', 'cloud-user-service/src/main/docker/Dockerfile']"
"[(25, 41)]","[('d2433fd7f460a6f2929b66778ba7b3d7374b0e1d', '83e296d280ebd14bd6d11ba04c3d4876194480b2')]","{'client', 'user', 'config'}","{Container(image='erdaoya/cloud-turbine-dashbord', build=None, container_name='turbine'), Container(image='erdaoya/cloud-eureka-service', build=None, container_name='eureka'), Container(image='erdaoya/cloud-user-service', build=None, container_name='user'), Container(image='erdaoya/cloud-service-client', build=None, container_name='client'), Container(image='erdaoya/cloud-data-mysql', build=None, container_name='mysql'), Container(image='erdaoya/cloud-config-service', build=None, container_name='config'), Container(image='erdaoya/cloud-api-gateway', build=None, container_name='gateway')}","['cloud-api-gateway/src/main/docker/Dockerfile', 'cloud-config-service/src/main/docker/Dockerfile', 'cloud-data-mysql/src/main/docker/Dockerfile', 'cloud-eureka-service/src/main/docker/Dockerfile', 'cloud-service-client/src/main/docker/Dockerfile', 'cloud-turbine-dashbord/src/main/docker/Dockerfile', 'cloud-user-service/src/main/docker/Dockerfile']"
"[(42, 42)]","[('96ed927a27cc3e25b4ac8091a17c6f6be84cb96f', '96ed927a27cc3e25b4ac8091a17c6f6be84cb96f')]","{'client', 'user', 'config'}","{Container(image='erdaoya/cloud-turbine-dashbord', build=None, container_name='turbine'), Container(image='erdaoya/cloud-eureka-service', build=None, container_name='eureka'), Container(image='erdaoya/cloud-user-service', build=None, container_name='user'), Container(image='erdaoya/cloud-service-client', build=None, container_name='client'), Container(image='erdaoya/cloud-data-mysql', build=None, container_name='mysql'), Container(image='erdaoya/cloud-config-service', build=None, container_name='config'), Container(image='erdaoya/cloud-api-gateway', build=None, container_name='gateway')}","['cloud-api-gateway/src/main/docker/Dockerfile', 'cloud-config-service/src/main/docker/Dockerfile', 'cloud-data-mysql/src/main/docker/Dockerfile', 'cloud-eureka-service/src/main/docker/Dockerfile', 'cloud-service-client/src/main/docker/Dockerfile', 'cloud-turbine-dashbord/src/main/docker/Dockerfile', 'cloud-user-service/src/main/docker/Dockerfile', 'cloud-zipkin-ui/src/main/docker/Dockerfile']"
"[(43, 52)]","[('6939800481c6e1ddaf33114e5d456b74b4c02b0f', 'fb59baaab684412fc8cddbef7b6a64b8d8bddd7f')]","{'zipkin', 'client', 'user', 'config'}","{Container(image='erdaoya/cloud-turbine-dashbord', build=None, container_name='turbine'), Container(image='erdaoya/cloud-eureka-service', build=None, container_name='eureka'), Container(image='erdaoya/cloud-zipkin-ui', build=None, container_name='zipkin'), Container(image='erdaoya/cloud-user-service', build=None, container_name='user'), Container(image='erdaoya/cloud-service-client', build=None, container_name='client'), Container(image='erdaoya/cloud-data-mysql', build=None, container_name='mysql'), Container(image='erdaoya/cloud-config-service', build=None, container_name='config'), Container(image='erdaoya/cloud-api-gateway', build=None, container_name='gateway')}","['cloud-api-gateway/src/main/docker/Dockerfile', 'cloud-config-service/src/main/docker/Dockerfile', 'cloud-data-mysql/src/main/docker/Dockerfile', 'cloud-eureka-service/src/main/docker/Dockerfile', 'cloud-service-client/src/main/docker/Dockerfile', 'cloud-turbine-dashbord/src/main/docker/Dockerfile', 'cloud-user-service/src/main/docker/Dockerfile', 'cloud-zipkin-ui/src/main/docker/Dockerfile']"
"[(53, 53)]","[('33e213163df7990f6d18d7e712ccde42e9dd465e', '33e213163df7990f6d18d7e712ccde42e9dd465e')]","{'zipkin', 'client', 'user', 'config'}","{Container(image='erdaoya/cloud-turbine-dashbord', build=None, container_name='turbine'), Container(image='erdaoya/cloud-eureka-service', build=None, container_name='eureka'), Container(image='erdaoya/cloud-zipkin-ui', build=None, container_name='zipkin'), Container(image='erdaoya/cloud-user-service', build=None, container_name='user'), Container(image='erdaoya/cloud-service-client', build=None, container_name='client'), Container(image='erdaoya/cloud-data-mysql', build=None, container_name='mysql'), Container(image='erdaoya/cloud-config-service', build=None, container_name='config'), Container(image='erdaoya/cloud-api-gateway', build=None, container_name='gateway')}","['cloud-api-gateway/src/main/docker/Dockerfile', 'cloud-config-service/src/main/docker/Dockerfile', 'cloud-data-mysql/src/main/docker/Dockerfile', 'cloud-data-rabbitmq/src/main/docker/Dockerfile', 'cloud-eureka-service/src/main/docker/Dockerfile', 'cloud-service-client/src/main/docker/Dockerfile', 'cloud-turbine-dashbord/src/main/docker/Dockerfile', 'cloud-user-service/src/main/docker/Dockerfile', 'cloud-zipkin-ui/src/main/docker/Dockerfile']"
"[(54, 59)]","[('1f0fd81591bd2f309b1f938c7ea65a5df6b81d79', '1f6b94ea547cb8cc06a3265077e5ce347bfc98da')]","{'zipkin', 'client', 'user', 'config'}","{Container(image='erdaoya/cloud-turbine-dashbord', build=None, container_name='turbine'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='erdaoya/cloud-eureka-service', build=None, container_name='eureka'), Container(image='erdaoya/cloud-zipkin-ui', build=None, container_name='zipkin'), Container(image='erdaoya/cloud-user-service', build=None, container_name='user'), Container(image='erdaoya/cloud-service-client', build=None, container_name='client'), Container(image='erdaoya/cloud-data-mysql', build=None, container_name='mysql'), Container(image='erdaoya/cloud-config-service', build=None, container_name='config'), Container(image='erdaoya/cloud-api-gateway', build=None, container_name='gateway')}","['cloud-api-gateway/src/main/docker/Dockerfile', 'cloud-config-service/src/main/docker/Dockerfile', 'cloud-data-mysql/src/main/docker/Dockerfile', 'cloud-data-rabbitmq/src/main/docker/Dockerfile', 'cloud-eureka-service/src/main/docker/Dockerfile', 'cloud-service-client/src/main/docker/Dockerfile', 'cloud-turbine-dashbord/src/main/docker/Dockerfile', 'cloud-user-service/src/main/docker/Dockerfile', 'cloud-zipkin-ui/src/main/docker/Dockerfile']"
